median_income,NAME,state,county,tract,GEOID
65445,Census Tract 2407.03; Harris County; Texas,48,201,240703,48201240703
106667,Census Tract 2407.04; Harris County; Texas,48,201,240704,48201240704
96084,Census Tract 2407.05; Harris County; Texas,48,201,240705,48201240705
67205,Census Tract 2407.06; Harris County; Texas,48,201,240706,48201240706
90380,Census Tract 2407.07; Harris County; Texas,48,201,240707,48201240707
70891,Census Tract 2408.02; Harris County; Texas,48,201,240802,48201240802
48844,Census Tract 2408.03; Harris County; Texas,48,201,240803,48201240803
47566,Census Tract 2408.04; Harris County; Texas,48,201,240804,48201240804
86797,Census Tract 2409.03; Harris County; Texas,48,201,240903,48201240903
77576,Census Tract 2409.04; Harris County; Texas,48,201,240904,48201240904
85000,Census Tract 2409.05; Harris County; Texas,48,201,240905,48201240905
94133,Census Tract 2409.06; Harris County; Texas,48,201,240906,48201240906
73566,Census Tract 2410.01; Harris County; Texas,48,201,241001,48201241001
78694,Census Tract 2410.02; Harris County; Texas,48,201,241002,48201241002
79728,Census Tract 2411.01; Harris County; Texas,48,201,241101,48201241101
88482,Census Tract 2411.03; Harris County; Texas,48,201,241103,48201241103
92278,Census Tract 2411.04; Harris County; Texas,48,201,241104,48201241104
80313,Census Tract 2411.05; Harris County; Texas,48,201,241105,48201241105
72983,Census Tract 2412.01; Harris County; Texas,48,201,241201,48201241201
